,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,60.0,186641.26585577757,8450.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,197107.34,180544.67460317462,177573.58892733563,181533.3168032787,203636.7393258427,7.0,5.0,2003.0,2003,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,856.0,1710.0,2,3.0,1.0,3,8.0,7,2,2,2008,171367.35477505918,173311.0876460768,208500.0
1,20.0,186641.26585577757,9600.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,176773.3085106383,2,234685.22727272726,142475.4814814815,177573.58892733563,181533.3168032787,173044.18112947658,6.0,7.5,1976.0,1976,170094.8115687993,176563.76987447697,149016.80681818182,149386.43691588784,2,2,149508.12223974764,178375.568627451,4,1,182896.38943028485,1262.0,1262.0,2,3.0,1.0,2,6.0,7,2,5,2007,171367.35477505918,173311.0876460768,181500.0
2,60.0,186641.26585577757,11250.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,174008.3174904943,2,197107.34,180544.67460317462,177573.58892733563,181533.3168032787,203636.7393258427,7.0,5.0,2001.0,2002,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,920.0,1786.0,2,3.0,1.0,3,6.0,7,2,9,2008,171367.35477505918,173311.0876460768,223500.0
3,70.0,186641.26585577757,9550.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,177408.80608365018,2,208419.08823529413,180544.67460317462,177573.58892733563,181533.3168032787,203636.7393258427,7.0,5.0,1915.0,1970,170094.8115687993,176563.76987447697,147215.9781553398,154805.59210526315,2,2,131366.67465753425,178375.568627451,3,1,182896.38943028485,961.0,1717.0,1,3.0,1.0,3,7.0,7,2,2,2006,171367.35477505918,142517.09405940594,140000.0
4,60.0,186641.26585577757,14260.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,176773.3085106383,2,297854.15853658534,180544.67460317462,177573.58892733563,181533.3168032787,203636.7393258427,8.0,5.0,2000.0,2000,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1145.0,2198.0,2,4.0,1.0,3,9.0,7,2,12,2008,171367.35477505918,173311.0876460768,250000.0
5,50.0,186641.26585577757,14115.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,174008.3174904943,2,156270.1224489796,180544.67460317462,177573.58892733563,181533.3168032787,142396.44805194804,5.0,5.0,1993.0,1995,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,2,2,185666.66666666666,178375.568627451,4,1,182896.38943028485,796.0,1362.0,1,1.0,1.0,2,5.0,7,2,10,2009,171367.35477505918,173311.0876460768,143000.0
6,20.0,186641.26585577757,10084.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,224056.5465116279,180544.67460317462,177573.58892733563,181533.3168032787,173044.18112947658,8.0,5.0,2004.0,2005,170094.8115687993,176563.76987447697,208407.1941747573,208990.51785714287,3,2,217630.31607418857,178375.568627451,4,1,182896.38943028485,1694.0,1694.0,2,3.0,1.0,3,7.0,7,2,8,2007,171367.35477505918,173311.0876460768,307000.0
7,60.0,186641.26585577757,10382.0,177526.0560522696,200291.10640495867,176679.91456903127,177358.8269362577,177408.80608365018,2,189050.0684931507,212817.76315789475,177573.58892733563,181533.3168032787,203636.7393258427,7.0,6.0,1973.0,1973,170094.8115687993,176563.76987447697,159924.63513513515,164280.28502415458,2,2,149508.12223974764,178375.568627451,4,1,182896.38943028485,1107.0,2090.0,2,3.0,1.0,2,7.0,7,2,11,2009,171367.35477505918,173311.0876460768,200000.0
8,50.0,125457.08256880734,6120.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,174008.3174904943,2,127030.9424778761,132279.94791666666,177573.58892733563,181533.3168032787,142396.44805194804,7.0,5.0,1931.0,1950,170094.8115687993,176563.76987447697,191693.25,154805.59210526315,2,2,131366.67465753425,178375.568627451,3,1,107675.44444444444,1022.0,1774.0,2,2.0,1.0,2,8.0,6,2,4,2008,171367.35477505918,142517.09405940594,129900.0
9,145.0,186641.26585577757,7420.0,177526.0560522696,162895.42864864864,176679.91456903127,177358.8269362577,177408.80608365018,2,124834.05172413793,132279.94791666666,106500.0,128432.25806451614,110150.0,5.0,6.0,1939.0,1950,170094.8115687993,176563.76987447697,149016.80681818182,149386.43691588784,2,2,131366.67465753425,178375.568627451,4,1,182896.38943028485,1077.0,1077.0,1,2.0,1.0,2,5.0,7,2,1,2008,171367.35477505918,173311.0876460768,118000.0
